date,time,tag,detail
"2026-08-21","13:49:32","[ANPR_EVENT]","plate=5766ХЭН  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:49:31","[ANPR_EVENT]","plate=6373УБЦ  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:49:24","[ANPR_EVENT]","plate=4023ОРН  conf=86%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:49:21","[ANPR_EVENT]","plate=7503УНП  conf=90%  dir=exit  lot=""Барилгачдын талбай""  cam=62"
"2026-08-21","13:49:20","[ANPR_EVENT]","plate=7967УКР  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:49:13","[ANPR_EVENT]","plate=1591УБВ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:49:10","[ANPR_EVENT]","plate=8519УБЧ  conf=98%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:49:08","[ANPR_EVENT]","plate=8731УКК  conf=94%  dir=enter  lot=""Барилгачдын талбай""  cam=61"
"2026-08-21","13:49:08","[ANPR_EVENT]","plate=2116УБЗ  conf=94%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:48:57","[ANPR_EVENT]","plate=5738УБЧ  conf=90%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:48:56","[ANPR_EVENT]","plate=1453УБС  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:48:56","[ANPR_EVENT]","plate=7179УЕО  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=51"
"2026-08-21","13:48:53","[ANPR_EVENT]","plate=9352УАМ  conf=86%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:48:48","[ANPR_EVENT]","plate=2609УАМ  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:48:45","[ANPR_EVENT]","plate=2116УБЭ  conf=86%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:48:44","[ANPR_EVENT]","plate=9347УНП  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:48:43","[ANPR_EVENT]","plate=3531УКА  conf=98%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:48:39","[ANPR_EVENT]","plate=7006УВВ  conf=90%  dir=enter  lot=""Ялалт""  cam=28"
"2026-08-21","13:48:39","[ANPR_EVENT]","plate=8998УНУ  conf=42%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:48:38","[ANPR_EVENT]","plate=8439УНА  conf=94%  dir=enter  lot=""Соло""  cam=20"
