Easy Parking LLC шинэ систем,,,
,Асуудал,Шийдэл,Янзлагдсан эсэх
1,Бүртгэлтэй машин хэсэгт exel import хийх үед exel draft татах боломжтой болгох,"Хийгдээгүй. Import нь «Улсын дугаар» гарчигтай багана хайдаг тул тийм загвар файл татах товч нэмэх шаардлагатай (жижиг ажил).",Үгүй
2,EXEL file import хийх үед бүх зогсоолд тохируулах гэдэг сонголтыг ажилладаг болгох. ,"Import цонхны «Бүх зогсоол» сонголт ажиллана — түрээслэгчийн бүх зогсоолд үйлчилнэ. 2026-08-11: түрээслэгчийн админд гарч байсан 403 алдааг мөн зассан, импортын мөрүүд түрээслэгчид зөв холбогддог болсон.",Тийм
3,Админ эрхээр дугаар устгадаг болгох.,"Бүртгэлтэй машин хэсэгт устгах товч бий (зөвхөн ADMIN/SUPER_ADMIN, аудит логтой). 2026-08-11: «Бүх зогсоол» бүртгэлийг устгахад гардаг байсан 403 алдааг зассан.",Тийм
4,Ямар нэгэн машиныг аль нэг зогсоол дээр бүртгээд нэвтрэх эрхийг сольж бүх зогсоол дээр тохируулж болохгүй байна.,"Бүртгэл засварлаад зогсоолыг «Бүх зогсоол» болгоход хэрэгжинэ. 2026-08-11: түрээслэгчийн админд (tumee г.м) гардаг байсан «таны хариуцах зогсоол биш» 403 алдааг зассан.",Тийм
5,ДК дугаар бүртгэж оруулах үед танигдахгүй дугаар гэдэг хариу систем өгч байна.,"Хийгдээгүй. Дугаарын шалгалт зөвхөн 4 цифр + 3 кирилл хэлбэрийг зөвшөөрдөг — ДК (дипломат) зэрэг тусгай хэлбэрийг нэмэх шаардлагатай.",Үгүй
6,админ эртхтэй хэрэглэгч автомашин бүртгэх эрхтэй болгох,"Админ эрхтэй хэрэглэгч машин бүртгэх бүрэн эрхтэй (drivers модуль default-оор орсон). 2026-08-11-ний 403 засвартай хамт бүрэн ажиллана.",Тийм
7,төлбөрийг цэгцлэх ,"Тодорхойлолт хэрэгтэй — юуг цэгцлэхийг тодруулсны дараа төлөвлөнө. (Холбогдох: 2026-08-11-д QPay-ийн гацсан PENDING төлбөрийг минут тутам автоматаар сэргээдэг болсон.)",Тодруулах
8,машины орсон гарсан эвэнт зөрөөтэй,"Камерын лог нөхөлт (camsync), авто цэвэрлэгээ, /audit тайлан, phantom илрүүлэгч (exit_diag --ghosts) нэмэгдсэн. 2026-08-11: «төлсөн ч гараагүй» кейс шалгагч paid_no_open.py нэмэгдсэн.",Тийм
9,POS дээр гарч ирж байгаа төлбөр хүлээгдэж байна гэдэг хэсгийг 2-3 минутын дараа өөрөө устдаг болгох,"2026-08-11 хийгдсэн: кассын «Гарах машинууд» жагсаалтад гарах уншилтаас хойш 3 минут л харагдана (тохиргоо: exit_queue_show_min). Түүх/хайлтад хэвээр үлдэнэ, дахин уншигдвал буцаж гарна.",Тийм
10,POS төлбөр төлөхөд бэлэн гэдэг сонголтыг дарангууд хаалт шууд нээгдэж байгааг болиулах ажилтанд хаалт нээх гэдэг товчийг нэмэх,"Хийгдээгүй. Одоо бэлэн дарахад шууд төлж хаалт нээдэг — баталгаажуулах асуулт/тусдаа «Хаалт нээх» товч нэмэх шаардлагатай.",Үгүй
